uri	input	ruleId	fp
d	d	d	d
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/I/message/write.php	ARGS:body	950001	True
/I/message/write.php	ARGS:body	950001	True
/I/message/write.php	ARGS:body	950001	True
/I/message/write.php	ARGS:body	950001	True
/I/message/write.php	ARGS:msg	950001	True
/I/message/write.php	ARGS:msg	950001	True
/I/message/write.php	ARGS:msg	950001	True
/I/message/write.php	ARGS:msg	950001	True
/I/message/validate.php	ARGS:CORPSMMS	950109	True
/I/message/validate.php	ARGS:CORPSMMS	950109	True
/I/message/write.php	ARGS:body	950001	True
/I/message/write.php	ARGS:body	950001	True
/I/message/write.php	ARGS:body	950001	True
/I/message/write.php	ARGS:body	950001	True
/I/message/write.php	ARGS:msg	950001	True
/I/message/write.php	ARGS:msg	950001	True
/I/message/write.php	ARGS:msg	950001	True
/I/message/write.php	ARGS:msg	950001	True
/I/message/validate.php	ARGS:body	950109	True
/I/message/validate.php	ARGS:body	950109	True
/I/message/validate.php	ARGS:body	950109	True
/I/message/validate.php	ARGS:body	950109	True
/I/message/validate.php	ARGS:body	950109	True
/I/message/validate.php	ARGS:body	950109	True
/C/message/message_manager.php	ARGS:destinationList	950911	True
/C/message/message_manager.php	ARGS:destinationList	950911	True
/M/message/message_manager.php			True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:msg	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:body	950001	True
/M/message/write.php	ARGS:msg	950001	True
